ID;nome;profissao;idade
1;Oliver;Food Technologist;14
2;Rocco;Ambulatory Nurse;41
3;Maribel;Fabricator;54
4;Emerald;Healthcare Specialist;42
5;Nathan;Bookkeeper;61
6;Owen;Retail Trainee;37
7;Katelyn;Insurance Broker;14
8;Erin;Investment  Advisor;62
9;Maxwell;Insurance Broker;29
10;Martin;Ambulatory Nurse;11
11;Crystal;Webmaster;14
12;Logan;Mobile Developer;68
13;Denny;Bellman;67
14;Daron;Front Desk Coordinator;34
15;Caleb;Food Technologist;52
16;Nicholas;Operator;38
17;Brad;Call Center Representative;26
18;Anthony;Front Desk Coordinator;61
19;Joseph;Food Technologist;48
20;Tony;Cashier;39
21;Kurt;Designer;28
22;Joyce;Call Center Representative;57
23;Nate;Loan Officer;49
24;Julius;Inspector;42
25;Andie;Global Logistics Supervisor;63
26;Brad;CNC Operator;66
27;Doris;CNC Operator;39
28;Hanna;Healthcare Specialist;26
29;Camila;CNC Operator;26
30;Jacqueline;Fabricator;11
31;Denis;Audiologist;49
32;Tess;Retail Trainee;28
33;Victoria;Cash Manager;16
34;Tyson;Mobile Developer;37
35;Elisabeth;Cashier;18
36;Marvin;Staffing Consultant;18
37;Caitlyn;Audiologist;18
38;Julius;Health Educator;59
39;Julian;Investment  Advisor;16
40;Mara;Auditor;27
41;Caydence;Assistant Buyer;61
42;Gwenyth;HR Coordinator;57
43;Caleb;IT Support Staff;63
44;Liv;Executive Director;38
45;Adalind;Clerk;32
46;Gina;Production Painter;16
47;Peter;Doctor;49
48;Chad;Biologist;40
49;Matt;Web Developer;49
50;Benjamin;Machine Operator;64
51;Phillip;Retail Trainee;20
52;Marjorie;Production Painter;62
53;Enoch;Global Logistics Supervisor;41
54;Amelia;Project Manager;63
55;Harry;Stockbroker;66
56;Wade;Biologist;39
57;Tom;Mobile Developer;22
58;Andie;Project Manager;54
59;Ron;Production Painter;45
60;Tyson;Service Supervisor;41
61;Noemi;Call Center Representative;32
62;Barney;Insurance Broker;59
63;Stacy;Lecturer;60
64;Enoch;Inspector;42
65;Tess;Healthcare Specialist;27
66;Alma;Pharmacist;69
67;Liv;Inspector;13
68;Leanne;Project Manager;48
69;Adalind;Dentist;46
70;Sebastian;Systems Administrator;58
71;Julian;Doctor;41
72;Maxwell;Banker;58
73;Gina;Budget Analyst;19
74;Ryan;Mobile Developer;38
75;Owen;Call Center Representative;52
76;Tess;Auditor;41
77;Greta;Business Broker;40
78;Denny;Inspector;57
79;Nick;Business Broker;25
80;Kaylee;Mobile Developer;42
81;Marvin;Front Desk Coordinator;61
82;Liam;Staffing Consultant;19
83;Andrea;Design Engineer;66
84;Maddison;Electrician;38
85;Johnathan;Healthcare Specialist;40
86;Jack;Steward;31
87;Enoch;Investment  Advisor;50
88;Stacy;Cash Manager;53
89;David;Call Center Representative;69
90;Tyler;Software Engineer;32
91;Nancy;Global Logistics Supervisor;16
92;Matt;Web Developer;58
93;Danielle;Chef Manager;39
94;Bart;IT Support Staff;47
95;Kieth;Insurance Broker;16
96;Skylar;Electrician;37
97;Liliana;Operator;39
98;Angel;Fabricator;56
99;Josh;Project Manager;17
100;Ramon;Front Desk Coordinator;14
101;Jack;Paramedic;60
102;Logan;IT Support Staff;13
103;Ronald;Banker;31
104;Adeline;Insurance Broker;48
105;Parker;Treasurer;33
106;Johnathan;Front Desk Coordinator;17
107;Mason;Audiologist;32
108;Dalia;Banker;13
109;Mason;Cook;20
110;Susan;Production Painter;39
111;Amy;Operator;37
112;Samara;Physician;39
113;Luke;Operator;34
